Date,State,District,Confirmed,Recovered,Deceased,Tested
2020-04-26,Maharashtra,Mumbai,5407,641,204,0
2020-04-27,Maharashtra,Mumbai,5776,711,219,0
2020-04-28,Maharashtra,Mumbai,6169,798,244,0
2020-04-29,Maharashtra,Mumbai,6644,936,270,0
2020-04-30,Maharashtra,Mumbai,7061,1092,290,0
2020-05-01,Maharashtra,Mumbai,7812,1134,296,0
2020-05-02,Maharashtra,Mumbai,8359,1203,322,0
2020-05-03,Maharashtra,Mumbai,8800,1230,343,0
2020-05-04,Maharashtra,Mumbai,9310,1395,361,0
2020-05-05,Maharashtra,Mumbai,9945,1605,387,0
2020-05-06,Maharashtra,Mumbai,10714,1694,412,0
2020-05-07,Maharashtra,Mumbai,11394,1793,437,0
2020-05-08,Maharashtra,Mumbai,12142,1867,462,0
2020-05-09,Maharashtra,Mumbai,12864,1867,489,0
2020-05-10,Maharashtra,Mumbai,13739,2296,508,0
2020-05-11,Maharashtra,Mumbai,14521,2366,528,0
2020-05-12,Maharashtra,Mumbai,14947,2513,556,0
2020-05-13,Maharashtra,Mumbai,15747,2739,596,0
2020-05-14,Maharashtra,Mumbai,16738,2944,621,0
2020-05-15,Maharashtra,Mumbai,17671,3125,655,0
2020-05-16,Maharashtra,Mumbai,18555,3260,696,0
2020-05-17,Maharashtra,Mumbai,20150,3498,734,0
2020-05-18,Maharashtra,Mumbai,21335,3730,757,162000
2020-05-19,Maharashtra,Mumbai,22746,4352,800,162000
2020-05-20,Maharashtra,Mumbai,24118,4702,841,162000
2020-05-21,Maharashtra,Mumbai,25500,5769,882,162000
2020-05-22,Maharashtra,Mumbai,27251,6096,909,164671
2020-05-23,Maharashtra,Mumbai,28817,6381,949,164671
2020-05-24,Maharashtra,Mumbai,30542,7083,988,164671
2020-05-25,Maharashtra,Mumbai,31972,7584,1026,174841
2020-05-26,Maharashtra,Mumbai,32974,8013,1065,174841
2020-05-27,Maharashtra,Mumbai,34018,8408,1097,185701
2020-05-28,Maharashtra,Mumbai,35485,8650,1135,189967
2020-05-29,Maharashtra,Mumbai,36932,16008,1173,189967
2020-05-30,Maharashtra,Mumbai,38442,16364,1227,189967
2020-05-31,Maharashtra,Mumbai,39686,16791,1279,189967
2020-06-01,Maharashtra,Mumbai,41099,16985,1319,201507
2020-06-02,Maharashtra,Mumbai,42216,17213,1368,201507
2020-06-03,Maharashtra,Mumbai,43492,17472,1417,212081
2020-06-04,Maharashtra,Mumbai,44931,18096,1465,215829
2020-06-05,Maharashtra,Mumbai,46080,18778,1519,215829
2020-06-06,Maharashtra,Mumbai,47354,19977,1577,215829
2020-06-07,Maharashtra,Mumbai,48774,21190,1638,215829
2020-06-08,Maharashtra,Mumbai,50085,22032,1702,215829
2020-06-09,Maharashtra,Mumbai,51100,22943,1760,233570
2020-06-10,Maharashtra,Mumbai,52667,23694,1857,233570
2020-06-11,Maharashtra,Mumbai,54085,24209,1954,242932
2020-06-12,Maharashtra,Mumbai,55451,25152,2044,242932
2020-06-13,Maharashtra,Mumbai,56831,25947,2113,242932
2020-06-14,Maharashtra,Mumbai,58226,26986,2182,242932
2020-06-15,Maharashtra,Mumbai,59293,30125,2250,261210
2020-06-16,Maharashtra,Mumbai,60228,31041,3167,264580
2020-06-17,Maharashtra,Mumbai,61587,31338,3244,269608
2020-06-18,Maharashtra,Mumbai,62875,31856,3311,269608
2020-06-19,Maharashtra,Mumbai,64139,32264,3425,278790
2020-06-20,Maharashtra,Mumbai,65329,32867,3561,287384
2020-06-21,Maharashtra,Mumbai,66488,33491,3671,291590
2020-06-22,Maharashtra,Mumbai,67586,34121,3737,294861
2020-06-23,Maharashtra,Mumbai,68410,34576,3844,299379
2020-06-24,Maharashtra,Mumbai,69528,37008,3964,304690
2020-06-25,Maharashtra,Mumbai,70878,39149,4062,304690
2020-06-26,Maharashtra,Mumbai,72175,39744,4179,304690
2020-06-27,Maharashtra,Mumbai,74252,42329,4284,319973
2020-06-28,Maharashtra,Mumbai,75539,43154,4371,324666
2020-06-29,Maharashtra,Mumbai,76765,43545,4463,324666
2020-06-30,Maharashtra,Mumbai,77658,44170,4556,328621
2020-07-01,Maharashtra,Mumbai,79145,44791,4631,339796
2020-07-02,Maharashtra,Mumbai,80699,50691,4689,339796
2020-07-03,Maharashtra,Mumbai,82074,52392,4762,349913
2020-07-04,Maharashtra,Mumbai,83237,53463,4830,354649
2020-07-05,Maharashtra,Mumbai,84524,55884,4899,359159
2020-07-06,Maharashtra,Mumbai,85724,57152,4938,363120
2020-07-07,Maharashtra,Mumbai,86509,58137,5002,368603
2020-07-08,Maharashtra,Mumbai,87856,59238,5064,374142
2020-07-09,Maharashtra,Mumbai,89124,60195,5132,379554
2020-07-10,Maharashtra,Mumbai,90461,61934,5205,385453
2020-07-11,Maharashtra,Mumbai,91745,63431,5244,391222
2020-07-12,Maharashtra,Mumbai,92988,64872,5288,396500
2020-07-13,Maharashtra,Mumbai,94146,65622,5335,401741
2020-07-14,Maharashtra,Mumbai,95100,66633,5405,408320
2020-07-15,Maharashtra,Mumbai,96474,67830,5467,415390
2020-07-16,Maharashtra,Mumbai,97950,67830,5523,421345
2020-07-17,Maharashtra,Mumbai,99164,69340,5585,427378
2020-07-18,Maharashtra,Mumbai,100350,70492,5650,433227
2020-07-19,Maharashtra,Mumbai,101388,71685,5714,438216
2020-07-20,Maharashtra,Mumbai,102423,72648,5755,443083
2020-07-21,Maharashtra,Mumbai,103368,73555,5817,450459
2020-07-22,Maharashtra,Mumbai,104678,75118,5875,456511
2020-07-23,Maharashtra,Mumbai,105923,77102,5930,462721
2020-07-24,Maharashtra,Mumbai,106980,78259,5984,470330
2020-07-25,Maharashtra,Mumbai,108060,78876,6036,478825
2020-07-26,Maharashtra,Mumbai,109161,80238,6093,485563
2020-07-27,Maharashtra,Mumbai,110182,81944,6132,494339
2020-07-28,Maharashtra,Mumbai,110882,84411,6187,505982
2020-07-29,Maharashtra,Mumbai,111991,85327,6247,516714
2020-07-30,Maharashtra,Mumbai,113199,86447,6300,526982
2020-07-31,Maharashtra,Mumbai,114284,87074,6353,537536
2020-08-01,Maharashtra,Mumbai,115331,87906,6398,546620
2020-08-02,Maharashtra,Mumbai,116436,88299,6447,551994
2020-08-03,Maharashtra,Mumbai,117406,90089,6493,559787
2020-08-04,Maharashtra,Mumbai,118115,90960,6549,567031
2020-08-05,Maharashtra,Mumbai,119240,91673,6591,575919
2020-08-06,Maharashtra,Mumbai,120150,92659,6648,583160
2020-08-07,Maharashtra,Mumbai,121012,93898,6693,592230
2020-08-08,Maharashtra,Mumbai,122316,95354,6751,599791
2020-08-09,Maharashtra,Mumbai,123382,96586,6799,605419
2020-08-10,Maharashtra,Mumbai,124307,97993,6845,605419
2020-08-11,Maharashtra,Mumbai,125224,99147,6893,622963
2020-08-12,Maharashtra,Mumbai,126356,100069,6943,637876
2020-08-13,Maharashtra,Mumbai,127556,100954,6991,637876
2020-08-14,Maharashtra,Mumbai,128535,101860,7038,645151
2020-08-15,Maharashtra,Mumbai,127716,102749,7086,651593
2020-08-16,Maharashtra,Mumbai,128726,103468,7133,656690
2020-08-17,Maharashtra,Mumbai,129479,104301,7173,663400
2020-08-18,Maharashtra,Mumbai,130410,105193,7222,663400
2020-08-19,Maharashtra,Mumbai,131542,106057,7268,663400
2020-08-20,Maharashtra,Mumbai,132822,107033,7314,688876
2020-08-21,Maharashtra,Mumbai,134228,108268,7356,697368
2020-08-22,Maharashtra,Mumbai,135362,109368,7388,697368
2020-08-23,Maharashtra,Mumbai,136353,110059,7422,709583
2020-08-24,Maharashtra,Mumbai,137096,111082,7442,715543
2020-08-25,Maharashtra,Mumbai,137683,111962,7477,715543
2020-08-26,Maharashtra,Mumbai,139537,112743,7505,734619
2020-08-27,Maharashtra,Mumbai,140888,113577,7535,743885
2020-08-28,Maharashtra,Mumbai,142108,114818,7565,753869
2020-08-29,Maharashtra,Mumbai,143389,115500,7596,762672
2020-08-30,Maharashtra,Mumbai,144626,116352,7626,768818
2020-08-31,Maharashtra,Mumbai,145805,117268,7658,775974
2020-09-01,Maharashtra,Mumbai,146947,118859,7693,784392
2020-09-02,Maharashtra,Mumbai,148569,119702,7727,792785
2020-09-03,Maharashtra,Mumbai,150095,120561,7764,802647
2020-09-04,Maharashtra,Mumbai,152024,121671,7799,813035
2020-09-05,Maharashtra,Mumbai,153712,122566,7832,824886
2020-09-06,Maharashtra,Mumbai,155622,123478,7869,834344
2020-09-07,Maharashtra,Mumbai,157410,125017,7900,843691
2020-09-08,Maharashtra,Mumbai,158756,125906,7942,856454
2020-09-09,Maharashtra,Mumbai,160744,126743,7985,872155
2020-09-10,Maharashtra,Mumbai,163115,128112,8023,887274
