Date,State,District,Confirmed,Recovered,Deceased,Tested
2020-04-26,Maharashtra,Pune,1052,210,76,0
2020-04-27,Maharashtra,Pune,1099,221,80,0
2020-04-28,Maharashtra,Pune,1174,233,82,0
2020-04-29,Maharashtra,Pune,1192,244,85,0
2020-04-30,Maharashtra,Pune,1248,248,88,0
2020-05-01,Maharashtra,Pune,1316,285,99,0
2020-05-02,Maharashtra,Pune,1339,321,102,0
2020-05-03,Maharashtra,Pune,1396,339,106,0
2020-05-04,Maharashtra,Pune,2018,425,113,0
2020-05-05,Maharashtra,Pune,2062,528,119,0
2020-05-06,Maharashtra,Pune,2087,588,122,0
2020-05-07,Maharashtra,Pune,2129,670,129,0
2020-05-08,Maharashtra,Pune,2177,730,139,0
2020-05-09,Maharashtra,Pune,2225,730,149,0
2020-05-10,Maharashtra,Pune,2679,925,155,0
2020-05-11,Maharashtra,Pune,2789,1086,158,0
2020-05-12,Maharashtra,Pune,2937,1163,164,0
2020-05-13,Maharashtra,Pune,3161,1197,170,0
2020-05-14,Maharashtra,Pune,3314,1377,175,0
2020-05-15,Maharashtra,Pune,3481,1432,181,0
2020-05-16,Maharashtra,Pune,3647,1452,188,0
2020-05-17,Maharashtra,Pune,3821,1511,197,0
2020-05-18,Maharashtra,Pune,4071,1676,205,0
2020-05-19,Maharashtra,Pune,4240,1807,211,0
2020-05-20,Maharashtra,Pune,4477,1874,226,0
2020-05-21,Maharashtra,Pune,4665,1940,234,0
2020-05-22,Maharashtra,Pune,4993,2174,243,0
2020-05-23,Maharashtra,Pune,5347,2279,257,0
2020-05-24,Maharashtra,Pune,5682,2459,263,0
2020-05-25,Maharashtra,Pune,5996,2568,274,0
2020-05-26,Maharashtra,Pune,6335,2830,282,0
2020-05-27,Maharashtra,Pune,6614,3086,291,0
2020-05-28,Maharashtra,Pune,6896,3242,301,0
2020-05-29,Maharashtra,Pune,7223,3425,314,0
2020-05-30,Maharashtra,Pune,7537,3559,320,0
2020-05-31,Maharashtra,Pune,7919,3699,329,0
2020-06-01,Maharashtra,Pune,8045,3793,338,0
2020-06-02,Maharashtra,Pune,8196,4317,348,0
2020-06-03,Maharashtra,Pune,8463,4585,367,0
2020-06-04,Maharashtra,Pune,8825,4774,376,0
2020-06-05,Maharashtra,Pune,9051,4893,390,71293
2020-06-06,Maharashtra,Pune,9289,5195,400,73148
2020-06-07,Maharashtra,Pune,9705,5516,406,73148
2020-06-08,Maharashtra,Pune,9877,5743,413,74818
2020-06-09,Maharashtra,Pune,10073,5903,429,74818
2020-06-10,Maharashtra,Pune,10406,6079,439,78258
2020-06-11,Maharashtra,Pune,10882,6208,447,79981
2020-06-12,Maharashtra,Pune,11281,6379,459,83453
2020-06-13,Maharashtra,Pune,11722,6567,469,83453
2020-06-14,Maharashtra,Pune,12184,6750,480,87165
2020-06-15,Maharashtra,Pune,12419,7279,494,87165
2020-06-16,Maharashtra,Pune,12888,7293,588,87165
2020-06-17,Maharashtra,Pune,13250,7410,610,94547
2020-06-18,Maharashtra,Pune,14000,7585,610,96763
2020-06-19,Maharashtra,Pune,14704,8020,610,99453
2020-06-20,Maharashtra,Pune,15286,8324,587,100757
2020-06-21,Maharashtra,Pune,15881,8622,601,104734
2020-06-22,Maharashtra,Pune,16474,8791,612,108574
2020-06-23,Maharashtra,Pune,16907,9142,624,114048
2020-06-24,Maharashtra,Pune,17445,9407,637,119568
2020-06-25,Maharashtra,Pune,18015,9706,659,121783
2020-06-26,Maharashtra,Pune,19031,10025,675,125945
