Date,State,District,Confirmed,Recovered,Deceased,Tested
2020-04-26,Maharashtra,Thane,738,125,14,0
2020-04-27,Maharashtra,Thane,752,129,14,0
2020-04-28,Maharashtra,Thane,824,132,14,0
2020-04-29,Maharashtra,Thane,882,163,14,0
2020-04-30,Maharashtra,Thane,943,172,16,0
2020-05-01,Maharashtra,Thane,1016,185,17,0
2020-05-02,Maharashtra,Thane,1086,196,18,0
2020-05-03,Maharashtra,Thane,1142,250,20,0
2020-05-04,Maharashtra,Thane,1238,285,21,0
2020-05-05,Maharashtra,Thane,1404,298,21,0
2020-05-06,Maharashtra,Thane,1616,352,21,0
2020-05-07,Maharashtra,Thane,1889,352,21,0
2020-05-08,Maharashtra,Thane,2053,359,21,0
2020-05-09,Maharashtra,Thane,2257,359,21,0
2020-05-10,Maharashtra,Thane,2448,369,21,0
2020-05-11,Maharashtra,Thane,2592,578,23,0
2020-05-12,Maharashtra,Thane,2814,578,25,0
2020-05-13,Maharashtra,Thane,3065,578,25,0
2020-05-14,Maharashtra,Thane,3287,630,36,0
2020-05-15,Maharashtra,Thane,3499,671,38,0
2020-05-16,Maharashtra,Thane,3834,766,47,0
2020-05-17,Maharashtra,Thane,4115,813,48,0
2020-05-18,Maharashtra,Thane,4402,872,57,0
2020-05-19,Maharashtra,Thane,4714,1066,74,0
2020-05-20,Maharashtra,Thane,4900,1103,79,0
2020-05-21,Maharashtra,Thane,5268,1172,81,0
2020-05-22,Maharashtra,Thane,5717,1229,84,0
2020-05-23,Maharashtra,Thane,6130,1532,85,0
2020-05-24,Maharashtra,Thane,6625,1592,87,0
2020-05-25,Maharashtra,Thane,6958,1929,93,0
2020-05-26,Maharashtra,Thane,7315,2137,126,0
2020-05-27,Maharashtra,Thane,7781,2224,149,0
2020-05-28,Maharashtra,Thane,8220,2300,155,0
2020-05-29,Maharashtra,Thane,8638,2729,172,0
2020-05-30,Maharashtra,Thane,9123,2973,182,0
2020-05-31,Maharashtra,Thane,9585,3400,200,0
2020-06-01,Maharashtra,Thane,9941,3637,215,0
2020-06-02,Maharashtra,Thane,10404,3732,230,0
2020-06-03,Maharashtra,Thane,10865,3992,240,0
2020-06-04,Maharashtra,Thane,11420,4179,254,0
2020-06-05,Maharashtra,Thane,11877,4445,292,0
2020-06-06,Maharashtra,Thane,12464,4686,322,0
2020-06-07,Maharashtra,Thane,13014,4836,331,0
2020-06-08,Maharashtra,Thane,13528,5081,336,0
2020-06-09,Maharashtra,Thane,14063,5218,355,0
2020-06-10,Maharashtra,Thane,14720,5706,378,0
2020-06-11,Maharashtra,Thane,15679,6234,398,0
